"Country or Area","Year","Item","Value"
"Switzerland","2015","Gross Domestic Product (GDP)","80831.084333691"
"Switzerland","2014","Gross Domestic Product (GDP)","85577.0026691707"
"Switzerland","2013","Gross Domestic Product (GDP)","84352.5972982101"
"Switzerland","2012","Gross Domestic Product (GDP)","82897.2813672509"
"Switzerland","2011","Gross Domestic Product (GDP)","87849.5010763041"
"Switzerland","2010","Gross Domestic Product (GDP)","74223.3623398514"
"Switzerland","2009","Gross Domestic Product (GDP)","69727.9981708486"
"Switzerland","2008","Gross Domestic Product (GDP)","72130.9129096402"
"Switzerland","2007","Gross Domestic Product (GDP)","63149.7998558178"
"Switzerland","2006","Gross Domestic Product (GDP)","57374.6751733105"
"Switzerland","2005","Gross Domestic Product (GDP)","55009.4286088032"
"Switzerland","2004","Gross Domestic Product (GDP)","53577.5347698429"
"Switzerland","2003","Gross Domestic Product (GDP)","48285.3587854871"
"Switzerland","2002","Gross Domestic Product (GDP)","41580.3571190972"
"Switzerland","2001","Gross Domestic Product (GDP)","38693.018253282"
"Switzerland","2000","Gross Domestic Product (GDP)","37910.7977206038"
"Switzerland","1999","Gross Domestic Product (GDP)","40619.3649350901"
"Switzerland","1998","Gross Domestic Product (GDP)","41466.8733738688"
"Switzerland","1997","Gross Domestic Product (GDP)","40422.3472513281"
"Switzerland","1996","Gross Domestic Product (GDP)","46690.3427169452"
"Switzerland","1995","Gross Domestic Product (GDP)","48705.4124023211"
"Switzerland","1994","Gross Domestic Product (GDP)","41942.7117576866"
"Switzerland","1993","Gross Domestic Product (GDP)","38269.4557902232"
"Switzerland","1992","Gross Domestic Product (GDP)","39789.0729938746"
"Switzerland","1991","Gross Domestic Product (GDP)","38644.1547793663"
"Switzerland","1990","Gross Domestic Product (GDP)","38572.2355100812"
"Switzerland","1989","Gross Domestic Product (GDP)","30456.5440020204"
"Switzerland","1988","Gross Domestic Product (GDP)","31769.8034795975"
"Switzerland","1987","Gross Domestic Product (GDP)","29547.9972361501"
"Switzerland","1986","Gross Domestic Product (GDP)","23730.7247405348"
"Switzerland","1985","Gross Domestic Product (GDP)","16651.2507603572"
"Switzerland","1984","Gross Domestic Product (GDP)","16523.5850485243"
"Switzerland","1983","Gross Domestic Product (GDP)","17412.1069782478"
"Switzerland","1982","Gross Domestic Product (GDP)","17572.4059274681"
"Switzerland","1981","Gross Domestic Product (GDP)","17213.772689734"
"Switzerland","1980","Gross Domestic Product (GDP)","18832.0275035203"
"Switzerland","1979","Gross Domestic Product (GDP)","17657.6096984218"
"Switzerland","1978","Gross Domestic Product (GDP)","15671.412175781"
"Switzerland","1977","Gross Domestic Product (GDP)","11171.2071775978"
"Switzerland","1976","Gross Domestic Product (GDP)","10436.3707390945"
"Switzerland","1975","Gross Domestic Product (GDP)","9976.32131634152"
"Switzerland","1974","Gross Domestic Product (GDP)","8722.72900830126"
"Switzerland","1973","Gross Domestic Product (GDP)","7604.24466340182"
"Switzerland","1972","Gross Domestic Product (GDP)","5691.78181771682"
"Switzerland","1971","Gross Domestic Product (GDP)","4676.81392896753"
"Switzerland","1970","Gross Domestic Product (GDP)","3924.81158092886"

